Entity,Category,System,Suggested_Query,Recommended_Filters,Red_Flag_Terms,Next_Step
Argonne National Laboratory,DOE/NNSA FFRDC,IRS 990 (if applicable),"""Argonne National Laboratory"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Argonne National Laboratory,DOE/NNSA FFRDC,Jobs Telemetry,"""Argonne National Laboratory"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Argonne National Laboratory,DOE/NNSA FFRDC,NRC ADAMS,"""Argonne National Laboratory"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Argonne National Laboratory,DOE/NNSA FFRDC,DOE OpenNet,"""Argonne National Laboratory"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
Argonne National Laboratory,DOE/NNSA FFRDC,FRPP (Real Property),"""Argonne National Laboratory"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Argonne National Laboratory,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""Argonne National Laboratory"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Argonne National Laboratory,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""Argonne National Laboratory"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Argonne National Laboratory,DOE/NNSA FFRDC,City/County Permits,"""Argonne National Laboratory"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Pacific Northwest National Laboratory""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""Pacific Northwest National Laboratory"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""Pacific Northwest National Laboratory"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,GAO Bid Protests,"""Pacific Northwest National Laboratory"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Pacific Northwest National Laboratory"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""Pacific Northwest National Laboratory""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,IRS 990 (if applicable),"""Pacific Northwest National Laboratory"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,Jobs Telemetry,"""Pacific Northwest National Laboratory"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,NRC ADAMS,"""Pacific Northwest National Laboratory"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,DOE OpenNet,"""Pacific Northwest National Laboratory"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,FRPP (Real Property),"""Pacific Northwest National Laboratory"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""Pacific Northwest National Laboratory"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""Pacific Northwest National Laboratory"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Pacific Northwest National Laboratory,DOE/NNSA FFRDC,City/County Permits,"""Pacific Northwest National Laboratory"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
Brookhaven National Laboratory,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Brookhaven National Laboratory""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Brookhaven National Laboratory,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""Brookhaven National Laboratory"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Brookhaven National Laboratory,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""Brookhaven National Laboratory"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Brookhaven National Laboratory,DOE/NNSA FFRDC,GAO Bid Protests,"""Brookhaven National Laboratory"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Brookhaven National Laboratory,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Brookhaven National Laboratory"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Brookhaven National Laboratory,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""Brookhaven National Laboratory""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Brookhaven National Laboratory,DOE/NNSA FFRDC,IRS 990 (if applicable),"""Brookhaven National Laboratory"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Brookhaven National Laboratory,DOE/NNSA FFRDC,Jobs Telemetry,"""Brookhaven National Laboratory"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Brookhaven National Laboratory,DOE/NNSA FFRDC,NRC ADAMS,"""Brookhaven National Laboratory"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
Brookhaven National Laboratory,DOE/NNSA FFRDC,DOE OpenNet,"""Brookhaven National Laboratory"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
Brookhaven National Laboratory,DOE/NNSA FFRDC,FRPP (Real Property),"""Brookhaven National Laboratory"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
Brookhaven National Laboratory,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""Brookhaven National Laboratory"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
Brookhaven National Laboratory,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""Brookhaven National Laboratory"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
Brookhaven National Laboratory,DOE/NNSA FFRDC,City/County Permits,"""Brookhaven National Laboratory"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
National Renewable Energy Laboratory,DOE/NNSA FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""National Renewable Energy Laboratory""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
National Renewable Energy Laboratory,DOE/NNSA FFRDC,USAspending (Award → Mod History),"Awardee = ""National Renewable Energy Laboratory"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
National Renewable Energy Laboratory,DOE/NNSA FFRDC,FPDS (legacy ezSearch),"""National Renewable Energy Laboratory"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
National Renewable Energy Laboratory,DOE/NNSA FFRDC,GAO Bid Protests,"""National Renewable Energy Laboratory"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
National Renewable Energy Laboratory,DOE/NNSA FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""National Renewable Energy Laboratory"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
National Renewable Energy Laboratory,DOE/NNSA FFRDC,Delaware SOS (Entity Search),"""National Renewable Energy Laboratory""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
National Renewable Energy Laboratory,DOE/NNSA FFRDC,IRS 990 (if applicable),"""National Renewable Energy Laboratory"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
National Renewable Energy Laboratory,DOE/NNSA FFRDC,Jobs Telemetry,"""National Renewable Energy Laboratory"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
National Renewable Energy Laboratory,DOE/NNSA FFRDC,NRC ADAMS,"""National Renewable Energy Laboratory"" OR site address; filter Part 71, Type B(U), sealed source, license scope changes, temp jobsite approvals",Licenses/Part 71/shipments,sealed source; Type B(U); temp jobsite approvals,Capture docket/permit IDs; link to PIIDs if visible
National Renewable Energy Laboratory,DOE/NNSA FFRDC,DOE OpenNet,"""National Renewable Energy Laboratory"" OR site/campus name; filter for unclassified tech reports with relevant keywords",Unclass tech reports,glovebox; hot cell; shielding materials,Capture docket/permit IDs; link to PIIDs if visible
National Renewable Energy Laboratory,DOE/NNSA FFRDC,FRPP (Real Property),"""National Renewable Energy Laboratory"" OR site/campus name in FRPP; compare YOY adds/removals/status/mission use",YOY property deltas,mission use; status change; new facility,Capture docket/permit IDs; link to PIIDs if visible
National Renewable Energy Laboratory,DOE/NNSA FFRDC,PHMSA Approvals/Special Permits,"""National Renewable Energy Laboratory"" AND (""Special Permit"" OR ""Type A"" OR ""Type B(U)"" OR UN 2915 OR UN 2916) site:phmsa.dot.gov",Shipments/packaging,Type A/B(U); UN 2915; UN 2916,Capture docket/permit IDs; link to PIIDs if visible
National Renewable Energy Laboratory,DOE/NNSA FFRDC,Regents/Trustees Agendas,"""National Renewable Energy Laboratory"" AND (radiological OR ""hot cell"" OR glovebox OR ""shielded window"" OR ""lead-lined"" OR ""Class 7 door"" OR ""neutron shielding"" OR ""borated polyethylene"")",Board approvals,radiological lab reno; shielding,Capture docket/permit IDs; link to PIIDs if visible
National Renewable Energy Laboratory,DOE/NNSA FFRDC,City/County Permits,"""National Renewable Energy Laboratory"" AND (building permit OR radiation OR SCIF OR SAPF OR classified) site:.gov",Permit portals,SCIF/SAPF construction; radiation work areas,Capture docket/permit IDs; link to PIIDs if visible
MITRE Corporation,DoD/IC FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""MITRE Corporation""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
MITRE Corporation,DoD/IC FFRDC,USAspending (Award → Mod History),"Awardee = ""MITRE Corporation"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
MITRE Corporation,DoD/IC FFRDC,FPDS (legacy ezSearch),"""MITRE Corporation"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
MITRE Corporation,DoD/IC FFRDC,GAO Bid Protests,"""MITRE Corporation"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
MITRE Corporation,DoD/IC FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""MITRE Corporation"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
MITRE Corporation,DoD/IC FFRDC,Delaware SOS (Entity Search),"""MITRE Corporation""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
MITRE Corporation,DoD/IC FFRDC,IRS 990 (if applicable),"""MITRE Corporation"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
MITRE Corporation,DoD/IC FFRDC,Jobs Telemetry,"""MITRE Corporation"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
The Aerospace Corporation,DoD/IC FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""The Aerospace Corporation""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
The Aerospace Corporation,DoD/IC FFRDC,USAspending (Award → Mod History),"Awardee = ""The Aerospace Corporation"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
The Aerospace Corporation,DoD/IC FFRDC,FPDS (legacy ezSearch),"""The Aerospace Corporation"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
The Aerospace Corporation,DoD/IC FFRDC,GAO Bid Protests,"""The Aerospace Corporation"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
The Aerospace Corporation,DoD/IC FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""The Aerospace Corporation"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
The Aerospace Corporation,DoD/IC FFRDC,Delaware SOS (Entity Search),"""The Aerospace Corporation""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
The Aerospace Corporation,DoD/IC FFRDC,IRS 990 (if applicable),"""The Aerospace Corporation"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
The Aerospace Corporation,DoD/IC FFRDC,Jobs Telemetry,"""The Aerospace Corporation"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Institute for Defense Analyses (IDA),DoD/IC FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Institute for Defense Analyses (IDA)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Institute for Defense Analyses (IDA),DoD/IC FFRDC,USAspending (Award → Mod History),"Awardee = ""Institute for Defense Analyses (IDA)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Institute for Defense Analyses (IDA),DoD/IC FFRDC,FPDS (legacy ezSearch),"""Institute for Defense Analyses (IDA)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Institute for Defense Analyses (IDA),DoD/IC FFRDC,GAO Bid Protests,"""Institute for Defense Analyses (IDA)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Institute for Defense Analyses (IDA),DoD/IC FFRDC,SEC EDGAR (8-K/10-K/Exhibits),"""Institute for Defense Analyses (IDA)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Institute for Defense Analyses (IDA),DoD/IC FFRDC,Delaware SOS (Entity Search),"""Institute for Defense Analyses (IDA)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Institute for Defense Analyses (IDA),DoD/IC FFRDC,IRS 990 (if applicable),"""Institute for Defense Analyses (IDA)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Institute for Defense Analyses (IDA),DoD/IC FFRDC,Jobs Telemetry,"""Institute for Defense Analyses (IDA)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Center for Naval Analyses (CNA),DoD/IC FFRDC,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Center for Naval Analyses (CNA)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
